COMPANY CODE,BISNIS AREA,AFD,LONGITUDE,LATITUDE,DATE,TIME,WX,TEMPERATURE,WIND SPEED,WIND DIRECTION
SMO,B1-SMO,B1-SMO,117.448,2.179,18/1/2024,11:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,18/1/2024,2:00 PM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,18/1/2024,5:00 PM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,18/1/2024,8:00 PM,berawan,31,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,18/1/2024,11:00 PM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,19/1/2024,2:00 AM,hujan ringan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,19/1/2024,5:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,19/1/2024,8:00 AM,berawan,25,8,T
SMO,B1-SMO,B1-SMO,117.448,2.179,19/1/2024,11:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,19/1/2024,2:00 PM,hujan ringan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,19/1/2024,5:00 PM,hujan ringan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,19/1/2024,8:00 PM,berawan,29,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,19/1/2024,11:00 PM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,20/1/2024,2:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,20/1/2024,5:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,20/1/2024,8:00 AM,berawan,25,5,TG
SMO,B1-SMO,B1-SMO,117.448,2.179,20/1/2024,11:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,20/1/2024,2:00 PM,hujan ringan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,20/1/2024,5:00 PM,hujan ringan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,20/1/2024,8:00 PM,berawan,28,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,20/1/2024,11:00 PM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,21/1/2024,2:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,21/1/2024,5:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,21/1/2024,8:00 AM,berawan,24,9,T
SMO,B1-SMO,B1-SMO,117.448,2.179,21/1/2024,11:00 AM,hujan ringan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,21/1/2024,2:00 PM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,21/1/2024,5:00 PM,hujan sedang,0,0,0
